artistid,artistname
/artist/2517,薛之谦
/artist/1925,李宗盛
/artist/1052,林俊杰
/artist/1097,周华健
/artist/1376,龙梅子
/artist/1557,许嵩
/artist/1094,任贤齐
/artist/1067,刘若英
/artist/340249647,冷凡
/artist/1095,梁静茹
/artist/1133,林忆莲
/artist/2319312,金南玲
/artist/164528737,周深
/artist/1092,张国荣
/artist/1228,陈淑桦
/artist/1115,阿杜
/artist/1192,齐豫
/artist/1629,冷漠
/artist/1226,许巍
/artist/45561,王菲
/artist/1142,张震岳
/artist/1231,黄品源
/artist/340442495,火箭少女101
/artist/1116,莫文蔚
/artist/1098,五月天
/artist/821050,乌兰图雅
/artist/340615848,舞蹈女神诺涵
/artist/340462058,展展与罗罗
/artist/1100,Beyond
/artist/1314,老狼
/artist/1224778,崔子格
/artist/1209,赵传
/artist/1490,凤凰传奇
/artist/1180,蔡健雅
/artist/2362,马旭成
/artist/1292,曹格
/artist/1233,辛晓琪
/artist/1244,万芳
/artist/415077,李雨儿
/artist/1112,光良
/artist/340614443,千一
/artist/1627,阿宝
/artist/2863,伍佰 & China Blue
/artist/92453235,Christine Welch
/artist/340613780,Selina任家萱
/artist/1219,韩红
/artist/73806043,戴荃
/artist/2613,张冬玲
/artist/1025,李宇春
/artist/1079,金莎
/artist/1078,李玉刚
/artist/1579,徐佳莹
/artist/1202,伍佰
/artist/1389,羽泉
/artist/31451981,Richard Clayderman
/artist/1418,By2
/artist/2374,群星
/artist/1581,郁可唯
/artist/340616296,垂耳兔
/artist/1171,张艾嘉
/artist/1428,刘欢
/artist/1253,卓文萱
/artist/1169,徐怀钰
/artist/51080346,张可
/artist/1181,潘越云
/artist/1170,杨乃文
/artist/14674804,贵族乐团
/artist/83885,樊桐舟
/artist/1108,成龙
/artist/1182,蔡琴
/artist/1378,郑钧
/artist/1316,腾格尔
/artist/247684,龙飞
/artist/1535,娃娃
/artist/9295,筷子兄弟
/artist/1379,彭坦
/artist/10595,曹轩宾
/artist/43997434,DJ小可
/artist/1195,苏慧伦
/artist/1383,李健
/artist/1230,李圣杰
/artist/340587469,封益成
/artist/340518278,酷
/artist/47506416,娄艺潇
/artist/1274,黑鸭子
/artist/1605,李丽芬
/artist/210144713,艾索
/artist/1183,杜德伟
/artist/88002446,马良
/artist/1154,水木年华
/artist/1190,罗大佑
/artist/1261,陈绮贞
/artist/1163,品冠
/artist/31514359,好妹妹
/artist/1541,陈洁仪
/artist/340500151,蝶长
/artist/1151,朴树
/artist/239571979,刘智晗
/artist/617453,高安
/artist/200882,Percy Faith
/artist/1456,二手玫瑰
/artist/55225920,云飞
/artist/26792963,纳兰珠儿
/artist/1465,尹相杰
/artist/2560,梦鸽
/artist/1429,栗锦
/artist/556015,岑宁儿
/artist/232953444,李若溪
/artist/1449,张也
/artist/1638,降央卓玛
/artist/1530220,回音哥
/artist/209822512,陈柯宇
/artist/2737,门丽
/artist/14629257,八三夭
/artist/1534,无印良品
/artist/1254,费玉清
/artist/241972,大庆小芳
/artist/67631,黄渤
/artist/239563535,鞠婧祎
/artist/92450027,陈燕
/artist/2528,毛宁
/artist/209963413,张穆庭
/artist/1062,谭维维
/artist/1156,田震
/artist/340462060,海来阿木
/artist/1077,陈奕迅
/artist/232949589,贾乃亮
/artist/210120835,陈粒
/artist/1911,林凡
/artist/1998,赵咏华
/artist/43881756,王二妮
/artist/2916,林琳
/artist/211833,汪苏泷
/artist/83690,纵贯线
/artist/56242,卢冠廷
/artist/4017,贝多芬
/artist/239572469,任素汐
/artist/45483288,阿肆
/artist/340497722,潘悦晨
/artist/340611942,鹿小龙
/artist/1117,齐秦
/artist/4016,Various Artists
/artist/177498,云朵
/artist/1602,张婧
/artist/2616,慕容晓晓
/artist/1224,刘德华
/artist/340609358,上虞JACKYZ
/artist/1245,张洪量
/artist/1281,阎维文
/artist/1325,大张伟
/artist/1293,凤飞飞
/artist/2577,唐朝乐队
/artist/340453300,叶贺璞
/artist/149532617,时翔云
/artist/210111090,赵泳鑫
/artist/17296,何炅
/artist/7732,纯音乐
/artist/239558378,传奇乐坊
/artist/1451,杨钰莹
/artist/1069,张韶涵
/artist/1167,陶晶莹
/artist/2397,MC Hotdog
/artist/1134,顺子
/artist/340609804,逍遥乐队
/artist/83561,林志炫
/artist/5887,谢安琪
/artist/7572,黑豹乐队
/artist/1243,罗百吉
/artist/210101646,孙盛希
/artist/197022960,DJ小鱼儿
/artist/51439659,SNH48
/artist/1287,毛阿敏
/artist/1103,胡彦斌
/artist/1299,张智成
/artist/239562591,新雅室内空气乐队
/artist/1509,戚薇
/artist/1481,莫艳琳
/artist/2611,刘惜君
/artist/707709,小蓓蕾组合
/artist/1514,祖海
/artist/8477,杨宗纬
/artist/1800,蒋大为
/artist/87976360,广州交响乐团
/artist/87733,吴静
/artist/340503871,李春花
/artist/239563352,新韵传音
/artist/1584151,孙露
/artist/340364211,夏雨菲
/artist/1258,蔡国庆
/artist/340422435,VOGUE 5
/artist/1270,阿牛
/artist/1035,张杰
